"Date(UTC)","UnixTimeStamp","Value"
"3/27/2021","1616803200","269.37"
"3/28/2021","1616889600","268.70"
"3/29/2021","1616976000","275.16"
"3/30/2021","1617062400","311.54"
"3/31/2021","1617148800","302.49"
"4/1/2021","1617235200","334.24"
"4/2/2021","1617321600","338.41"
"4/3/2021","1617408000","321.90"
"4/4/2021","1617494400","349.55"
"4/5/2021","1617580800","368.31"
"4/6/2021","1617667200","403.06"
"4/7/2021","1617753600","375.44"
"4/8/2021","1617840000","418.15"
"4/9/2021","1617926400","453.23"
"4/10/2021","1618012800","471.70"
"4/11/2021","1618099200","525.43"
"4/12/2021","1618185600","596.96"
"4/13/2021","1618272000","550.42"
"4/14/2021","1618358400","549.17"
"4/15/2021","1618444800","542.41"
"4/16/2021","1618531200","508.96"
"4/17/2021","1618617600","515.40"
"4/18/2021","1618704000","481.98"
"4/19/2021","1618790400","504.46"
"4/20/2021","1618876800","588.55"
"4/21/2021","1618963200","543.71"
"4/22/2021","1619049600","505.27"
"4/23/2021","1619136000","527.13"
"4/24/2021","1619222400","496.98"
"4/25/2021","1619308800","505.45"
"4/26/2021","1619395200","535.13"
"4/27/2021","1619481600","569.46"
"4/28/2021","1619568000","563.60"
"4/29/2021","1619654400","600.65"
"4/30/2021","1619740800","623.21"
"5/1/2021","1619827200","620.66"
"5/2/2021","1619913600","622.29"
"5/3/2021","1620000000","676.62"
"5/4/2021","1620086400","610.18"
"5/5/2021","1620172800","652.13"
"5/6/2021","1620259200","634.41"
"5/7/2021","1620345600","624.81"
"5/8/2021","1620432000","647.20"
"5/9/2021","1620518400","662.11"
"5/10/2021","1620604800","631.89"
"5/11/2021","1620691200","672.46"
"5/12/2021","1620777600","591.57"
"5/13/2021","1620864000","571.06"
"5/14/2021","1620950400","603.21"
"5/15/2021","1621036800","563.64"
"5/16/2021","1621123200","564.21"
"5/17/2021","1621209600","512.11"
"5/18/2021","1621296000","508.20"
"5/19/2021","1621382400","336.57"
"5/20/2021","1621468800","391.12"
"5/21/2021","1621555200","326.50"
"5/22/2021","1621641600","299.71"
"5/23/2021","1621728000","261.63"
"5/24/2021","1621814400","345.81"
"5/25/2021","1621900800","343.49"
"5/26/2021","1621987200","379.83"
"5/27/2021","1622073600","369.51"
"5/28/2021","1622160000","329.16"
"5/29/2021","1622246400","305.20"
"5/30/2021","1622332800","325.74"
"5/31/2021","1622419200","353.89"
"6/1/2021","1622505600","362.47"
"6/2/2021","1622592000","401.70"
"6/3/2021","1622678400","428.00"
"6/4/2021","1622764800","390.73"
"6/5/2021","1622851200","390.21"
"6/6/2021","1622937600","393.78"
"6/7/2021","1623024000","358.12"
"6/8/2021","1623110400","352.92"
"6/9/2021","1623196800","375.79"
"6/10/2021","1623283200","351.99"
"6/11/2021","1623369600","345.88"
"6/12/2021","1623456000","343.87"
"6/13/2021","1623542400","365.87"
"6/14/2021","1623628800","370.17"
